X,Y,standort,anzahl_ladepunkte,ladesaeule_status,adresse,koordinaten,typ,ladepunkt,stecker,status,authmethod_1,authmethod_2
9.987,53.541,"398","2",belegt,Am Kaiserkai 53,N53.541290 E9.987390,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
10.002,53.498,"441","2",frei,Neuenfelder Straße 19,N53.497900 E10.002170,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.96,53.568,"305","2",teilweise belegt,Bellealliancestraße 40,N53.568036 E9.960359,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
9.979,53.464,"476","2",frei,Wallgraben 46,N53.463710 E9.978910,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.074,53.575,"052","3",belegt,Wandsbeker Zollstraße 15,N53.574780 E10.074180,DC,,CHAdeMO,belegt,Öffentlich zugänglich,RFID-Karte
10.002,53.593,"076","3",belegt,Grasweg 6,N53.592820 E10.002150,AC,,Typ2,belegt,Öffentlich zugänglich,RFID-Karte
9.99,53.456,"318","2",frei,Hannoversche Straße 88,N53.455671 E9.989705,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.012,53.557,"375","2",teilweise belegt,Greifswalder Str. 37,N53.557290 E10.011770,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.074,53.575,"052","3",belegt,Wandsbeker Zollstraße 15,N53.574780 E10.074180,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
9.943,53.593,"261","2",frei,Koppelstraße Ecke Lokstedter Grenzstraße 45,N53.593396 E9.942715,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.937,53.574,"541","2",frei,Große Bahnstraße 30,N53.573960 E9.936910,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.999,53.55,"207","2",teilweise belegt,Kattrepel 20,N53.549675 E9.999197,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
10.054,53.569,"021","3",frei,Kantstraße 4,N53.569090 E10.053610,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.976,53.602,"382","2",frei,Nedderfeld 80,N53.601570 E9.975560,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.051,53.548,"466","2",teilweise belegt,Süderstraße 288,N53.547620 E10.051320,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
9.962,53.574,"074","3",teilweise belegt,Eppendorfer Weg 86,N53.574240 E9.961880,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
10.203,53.489,"662","2",frei,Kurt-A.-Körber-Chaussee 5,N53.488939 E10.202586,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.919,53.563,"300","2",belegt,Beim Alten Gaswerk 3,N53.563150 E9.918796,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
9.987,53.541,"398","2",belegt,Am Kaiserkai 53,N53.541290 E9.987390,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
10.013,53.583,"673","2",teilweise belegt,Peter-Marquard-Straße 13,N53.583348 E10.013078,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
9.958,53.553,"477","2",frei,Paul-Roosen Straße 22,N53.553120 E9.958370,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.936,53.546,"202","2",frei,Palmaille 73,N53.546437 E9.935543,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.203,53.483,"703","2",frei,Glasbläserhöfe 14,N53.482838 E10.202717,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.087,53.66,"007","3",frei,Poppenbüttler Markt 12,N53.660380 E10.086780,DC,,CHAdeMO,frei,Öffentlich zugänglich,RFID-Karte
10.107,53.547,"547","2",teilweise belegt,Schiffbeker Weg 83,N53.547040 E10.106530,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.044,53.575,"314","2",teilweise belegt,Von-Essen-Straße 75,N53.575095 E10.044319,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
14.822,51.293,"7020","3",teilweise belegt,Zinzendorfplatz 2,N51.293392 E14.822248,AC,,Typ2,frei,Öffentlich zugänglich,RFID-Karte
9.937,53.574,"541","2",frei,Große Bahnstraße 30,N53.573960 E9.936910,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.916,53.563,"635","2",teilweise belegt,Paul-Dessau-Straße 2,N53.563490 E9.915853,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
10.083,53.66,"634","2",frei,Harksheider Straße 11,N53.660268 E10.082620,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.953,53.582,"498","2",frei,Eidelstedter Weg 32,N53.581810 E9.953410,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
9.887,53.558,"526","2",belegt,Falckweg 3,N53.557980 E9.886780,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
10.043,53.579,"313","2",frei,Dehnhaide 12,N53.579073 E10.042557,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.005,53.549,"402","2",belegt,Johanniswall 6,N53.548900 E10.004870,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
10.057,53.55,"462","2",frei,Wendenstraße 473,N53.549660 E10.056690,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.005,53.585,"359","2",belegt,Sierichstraße 78,N53.584710 E10.004650,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
9.926,53.549,"615","2",belegt,Arnoldstraße 45,N53.548827 E9.925680,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
10.043,53.586,"230","2",frei,Poppenhusenstraße 2,N53.585581 E10.043033,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.865,53.571,"280","2",teilweise belegt,Heinrich-Plett-Str. 4,N53.571177 E9.864905,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
9.998,53.72,"1219","2",teilweise belegt,Ulzburger Straße 362,N53.720310 E9.998310,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.036,53.597,"415","2",teilweise belegt,Alte Wöhr 20,N53.597420 E10.036280,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
9.94,53.558,"412","2",frei,Haubachstraße 39,N53.557850 E9.939660,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
9.874,53.562,"573","2",frei,Müllenhoffweg 54,N53.561660 E9.873680,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.074,53.604,"764","1",teilweise belegt,Moosrosenweg 18,N53.604279 E10.073739,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
9.909,53.566,"276","2",frei,Von-Sauer-Straße 11,N53.565580 E9.908842,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.017,53.556,"222","2",teilweise belegt,Steindamm 94,N53.555550 E10.017166,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
10.0,53.618,"515","2",teilweise belegt,Sportallee 81,N53.617600 E10.000380,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
10.019,53.653,V11,"4",teilweise belegt,Tangstedter Landstraße 83,N53.652610 E10.018730,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.018,53.712,"1223","2",teilweise belegt,Stormarnstraße 55,N53.711750 E10.017930,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
9.986,53.588,"587","2",frei,Eppendorfer Landstraße 41,N53.588329 E9.985718,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.954,53.55,"204","2",belegt,Königstraße 4A,N53.549762 E9.953949,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
10.076,53.564,"629","2",frei,Husarenhof 1,N53.564191 E10.075661,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.982,53.568,"218","2",frei,Bornstraße 18,N53.568175 E9.981787,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.928,53.6,"470","2",belegt,Jütländer Allee 47,N53.600000 E9.928480,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
9.985,53.504,"064","3",teilweise belegt,Veringstraße 173,N53.504270 E9.985390,DC,,CHAdeMO,frei,Öffentlich zugänglich,RFID-Karte
10.033,53.549,"682","2",teilweise belegt,Wendenstraße 162,N53.548912 E10.032816,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
13.464,51.154,"7283","2",teilweise belegt,Talstraße 10,N51.154400 E13.463650,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.167,53.649,"012","3",belegt,Wiesenhöfen 2,N53.648780 E10.167440,DC,,CHAdeMO,belegt,Öffentlich zugänglich,RFID-Karte
9.982,53.568,"218","2",frei,Bornstraße 18,N53.568175 E9.981787,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.244,53.661,"9203","2",teilweise belegt,Am Aalfang 12,N53.661368 E10.244113,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.038,53.591,"521","2",frei,Hellbrookstraße 9,N53.591410 E10.038130,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.05,53.577,"589","2",frei,Erika-Mann-Bogen 21,N53.576580 E10.049620,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
9.954,53.56,"435","2",frei,Bei der Johanniskirche 16,N53.559890 E9.954060,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.041,53.603,"294","2",teilweise belegt,Fuhlsbüttler Straße 387,N53.602574 E10.040627,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
